Ветер. За горизонт;https://litnet.com/ru/book/veter-za-gorizont-b186847;119            RUB;Сергей Панченко;https://litnet.com/ru/sergei-panchenko-u90239
История Бессмертного-2 Мертвые земли;https://litnet.com/ru/book/istoriya-bessmertnogo-2-mertvye-zemli-b223195;139            RUB;Андрей Ефремов;https://litnet.com/ru/andrei-efremov-u524675
История Бессмертного-4. Конец эпохи. Часть первая;https://litnet.com/ru/book/istoriya-bessmertnogo-4-konec-epohi-chast-pervaya-b271011;155            RUB;Андрей Ефремов;https://litnet.com/ru/andrei-efremov-u524675
Падший 2;https://litnet.com/ru/book/padshii-2-b304904;139            RUB;Алекс Платт;https://litnet.com/ru/aleks-platt-u6245037
Искажающие Реальность-8;https://litnet.com/ru/book/iskazhayushchie-realnost-8-b306132;149            RUB;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
Посмертие-2. Руины Вудстоуна;https://litnet.com/ru/book/posmertie-2-ruiny-vudstouna-b378814;179            RUB;Андрей Ефремов;https://litnet.com/ru/andrei-efremov-u524675
Звездный странник 1. Начало пути;https://litnet.com/ru/book/zvezdnyi-strannik-1-nachalo-puti-b151286;Бесплатно;Матвей Дебров;https://litnet.com/ru/matvei-debrov-u2838530
Level Up 2. Герой;https://litnet.com/ru/book/level-up-2-geroi-b37358;199            RUB;Данияр Сугралинов;https://litnet.com/ru/daniyar-sugralinov-u87167
Долгая дорога домой. Книга Вторая;https://litnet.com/ru/book/dolgaya-doroga-domoi-kniga-vtoraya-b71638;129            RUB;Александр Демьянов;https://litnet.com/ru/aleksandr-demyanov-u780707
Тёмный Травник. Обрести тело;https://litnet.com/ru/book/temnyi-travnik-obresti-telo-b82734;139            RUB;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
Сага о неудачнике;https://litnet.com/ru/book/saga-o-neudachnike-b99482;Бесплатно;Немченко Александр Владимирович;https://litnet.com/ru/nemchenko-aleksandr-vladimirovich-u1442778
Легенда 2, Инферно;https://litnet.com/ru/book/legenda-2-inferno-b197989;149            RUB;Владимир Кретов;https://litnet.com/ru/vladimir-kretov-u4224360
Искажающие Реальность-7;https://litnet.com/ru/book/iskazhayushchie-realnost-7-b264813;149            RUB;Михаил Атаманов;https://litnet.com/ru/mihail-atamanov-u2909
Падший;https://litnet.com/ru/book/padshii-b296479;Бесплатно;Алекс Платт;https://litnet.com/ru/aleks-platt-u6245037
Убийца Богов 2: Царь Пантеона ;https://litnet.com/ru/book/ubiica-bogov-2-car-panteona-b298643;139            RUB;Александр Робский ;https://litnet.com/ru/aleksandr-robskii-u1889868
Возрождение;https://litnet.com/ru/book/vozrozhdenie-b347003;139            RUB;Степан Кулик;https://litnet.com/ru/stepan-kulik-u8542447
Доктор Хаос;https://litnet.com/ru/book/doktor-xaos-b349659;179            RUB;Алекс Платт;https://litnet.com/ru/aleks-platt-u6245037
Кровавый целитель. Том 4: Late game - Часть 1;https://litnet.com/ru/book/krovavyi-celitel-tom-4-late-game-chast-1-b366775;116.1            RUB;Александр Тэл (ArFrim);https://litnet.com/ru/aleksandr-tel-arfrim-u7383095
Артефактор. Том 1;https://litnet.com/ru/book/artefaktor-tom-1-b392776;Бесплатно;Александр Setroi Шаравар;https://litnet.com/ru/aleksandr-setroi-sharavar-u170918
